Personnel,Label_ID,Plant_sample_ID,Culture_Label_ID,Culture_colony_ID,Date,Protocol_used,Notes
EmmaG,EUSF0001,,ZUSF00641,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF0002,,ZUSF00296,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF0003,,ZUSF00609,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF0004,,ZUSF00438,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF0005,,ZUSF00648,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF0006,,ZUSF00649,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF0007,,ZUSF00549,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0008,,ZUSF00310,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0009,,ZUSF00474,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0010,,ZUSF00308,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0011,,ZUSF00484,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0012,,ZUSF00495,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0013,,ZUSF00187,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0014,,ZUSF00264,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0015,,ZUSF00341,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0016,,ZUSF00199,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0017,,ZUSF00232,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0018,,ZUSF00215,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0019,,ZUSF00486,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0020,,ZUSF00355,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0021,,ZUSF00462,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0022,,ZUSF00548,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0023,,ZUSF00636,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0024,,ZUSF00607,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0025,,ZUSF00454,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0026,,ZUSF00480,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF0027,,ZUSF00529,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0028,,ZUSF00176,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0029,,ZUSF00354,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0030,,ZUSF00415,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0031,,ZUSF00455,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0032,,ZUSF00583,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0033,,ZUSF00572,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0034,,ZUSF00492,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0035,,ZUSF00543,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0036,,ZUSF00518,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0037,,ZUSF00494,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0038,,ZUSF00571,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0039,,ZUSF00188,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0040,,ZUSF00343,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0041,,ZUSF00164,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0042,,ZUSF00497,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0043,,ZUSF00229,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF0044,,ZUSF00197,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0045,,ZUSF00514,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0046,,ZUSF00513,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0047,,ZUSF00209,,2017-07-17,Tissue Extract-N-Amp,"opened in the bead-beater (7/16), redid (7/17)"
EmmaG,EUSF0048,,ZUSF00424,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0049,,ZUSF00158,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0050,,ZUSF00324,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0051,,ZUSF00498,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0052,,ZUSF00522,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0053,,ZUSF00340,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0054,,ZUSF00279,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0055,,ZUSF00340,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0056,,ZUSF00593,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0057,,ZUSF00631,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0058,,ZUSF00429,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0059,,ZUSF00326,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0060,,ZUSF00312,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0061,,ZUSF00532,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0062,,ZUSF00587,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0063,,ZUSF00345,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF0064,,ZUSF00195,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0065,,ZUSF00271,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0066,,ZUSF00294,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0067,,ZUSF00287,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0068,,ZUSF00368,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0069,,ZUSF00370,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0070,,ZUSF00275,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0071,,ZUSF00304,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0072,,ZUSF00272,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0073,,ZUSF00254,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0074,,ZUSF00227,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0075,,ZUSF00510,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0076,,ZUSF00299,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0077,,ZUSF00248,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0078,,ZUSF00378,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0079,,ZUSF00245,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0080,,ZUSF00382,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0081,,ZUSF00338,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0082,,ZUSF00249,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0083,,ZUSF00170,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0084,,ZUSF00265,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0085,,ZUSF00557,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0086,,ZUSF00244,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0087,,ZUSF00268,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0088,,ZUSF00186,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0089,,ZUSF00267,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0090,,ZUSF00193,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0091,,ZUSF00293,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0092,,ZUSF00393,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0093,,ZUSF00237,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0094,,ZUSF00295,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0095,,ZUSF00240,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0096,,ZUSF00204,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0097,,ZUSF00201,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0098,,ZUSF00213,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0099,,ZUSF00241,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0100,,ZUSF00174,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0101,,ZUSF00230,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0102,,ZUSF00350,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF0103,,ZUSF00243,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0104,,ZUSF00360,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0105,,ZUSF00363,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0106,,ZUSF00247,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0107,,ZUSF00239,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0108,,ZUSF00410,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0109,,ZUSF00386,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0110,,ZUSF00263,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0111,,ZUSF00367,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0112,,ZUSF00228,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0113,,ZUSF00297,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0114,,ZUSF00427,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0115,,ZUSF00387,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0116,,ZUSF00270,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0117,,ZUSF00216,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0118,,ZUSF00383,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0119,,ZUSF00169,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0120,,ZUSF00398,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0121,,ZUSF00192,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0122,,ZUSF00292,,2017-07-18,Tissue Extract-N-Amp,
EmmaG,EUSF0123,,ZUSF00291,,2017-07-18,Tissue Extract-N-Amp,
