"Label_ID","Culture_Label_ID","Label_ID_Voucher","Tree_ID"
"EUSF00568","ZUSF00778","VUSF01135","S1T4"
"EUSF00568","ZUSF00778","VUSF01136","S1T4"
"EUSF00570","ZUSF00781","VUSF01139","S1T4"
"EUSF00570","ZUSF00781","VUSF01140","S1T4"
"EUSF00572","ZUSF00783","VUSF01143","S1T4"
"EUSF00572","ZUSF00783","VUSF01144","S1T4"
"EUSF00614","ZUSF00827","VUSF01227","S2T1"
"EUSF00614","ZUSF00827","VUSF01228","S2T1"
"EUSF00621","ZUSF00838","VUSF01241","S2T2"
"EUSF00621","ZUSF00838","VUSF01242","S2T2"
"EUSF00658","ZUSF00877","VUSF01315","S2T4"
"EUSF00658","ZUSF00877","VUSF01316","S2T4"
"EUSF00685","ZUSF00905","VUSF01369","S3T1"
"EUSF00685","ZUSF00905","VUSF01370","S3T1"
"EUSF00699","ZUSF00920","VUSF01397","S3T1"
"EUSF00699","ZUSF00920","VUSF01398","S3T1"
"EUSF00716","ZUSF00941","VUSF01431","S3T1"
"EUSF00716","ZUSF00941","VUSF01432","S3T1"
"EUSF00735","ZUSF00963","VUSF01469","S3T2"
"EUSF00735","ZUSF00963","VUSF01470","S3T2"
"EUSF00744","ZUSF00974","VUSF01487","S3T2"
"EUSF00744","ZUSF00974","VUSF01488","S3T2"
"EUSF00757","ZUSF00989","VUSF01513","S3T2"
"EUSF00757","ZUSF00989","VUSF01514","S3T2"
"EUSF00772","ZUSF01006","VUSF01543","S3T2"
"EUSF00772","ZUSF01006","VUSF01544","S3T2"
"EUSF00780","ZUSF01016","VUSF01559","S3T2"
"EUSF00780","ZUSF01016","VUSF01560","S3T2"
"EUSF00798","ZUSF01043","VUSF01595","S3T4"
"EUSF00798","ZUSF01043","VUSF01596","S3T4"
"EUSF00813","ZUSF01066","VUSF01625","S3T4"
"EUSF00813","ZUSF01066","VUSF01626","S3T4"
"EUSF00826","ZUSF01089","VUSF01651","S3T4"
"EUSF00826","ZUSF01089","VUSF01652","S3T4"
"EUSF00837","ZUSF01106","VUSF01673","S3T4"
"EUSF00837","ZUSF01106","VUSF01674","S3T4"
"EUSF00849","ZUSF01119","VUSF01697","S3T5"
"EUSF00849","ZUSF01119","VUSF01698","S3T5"
"EUSF00855","ZUSF01125","VUSF01709","S3T5"
"EUSF00855","ZUSF01125","VUSF01710","S3T5"
"EUSF00858","ZUSF01128","VUSF01715","S3T5"
"EUSF00858","ZUSF01128","VUSF01716","S3T5"
"EUSF00873","ZUSF01144","VUSF01745","S3T5"
"EUSF00873","ZUSF01144","VUSF01746","S3T5"
"EUSF00884","ZUSF01155","VUSF01767","S3T5"
"EUSF00884","ZUSF01155","VUSF01768","S3T5"
"EUSF00912","ZUSF01190","VUSF01823","S4T1"
"EUSF00912","ZUSF01190","VUSF01824","S4T1"
"EUSF00914","ZUSF01192","VUSF01827","S4T1"
"EUSF00914","ZUSF01192","VUSF01828","S4T1"
"EUSF00922","ZUSF01200","VUSF01843","S4T1"
"EUSF00922","ZUSF01200","VUSF01844","S4T1"
"EUSF00924","ZUSF01202","VUSF01847","S4T1"
"EUSF00924","ZUSF01202","VUSF01848","S4T1"
"EUSF00926","ZUSF01204","VUSF01851","S4T1"
"EUSF00926","ZUSF01204","VUSF01852","S4T1"
"EUSF00927","ZUSF01205","VUSF01853","S4T1"
"EUSF00927","ZUSF01205","VUSF01854","S4T1"
"EUSF00930","ZUSF01208","VUSF01859","S4T1"
"EUSF00930","ZUSF01208","VUSF01860","S4T1"
"EUSF00957","ZUSF01269","VUSF01913","S3T3"
"EUSF00957","ZUSF01269","VUSF01914","S3T3"
"EUSF00977","ZUSF01295","VUSF01953","S4T1"
"EUSF00977","ZUSF01295","VUSF01954","S4T1"
"EUSF00978","ZUSF01296","VUSF01955","S4T1"
"EUSF00978","ZUSF01296","VUSF01956","S4T1"
"EUSF00979","ZUSF01297","VUSF01957","S4T1"
"EUSF00979","ZUSF01297","VUSF01958","S4T1"
"EUSF01016","ZUSF01338","VUSF02031","S4T2"
"EUSF01016","ZUSF01338","VUSF02032","S4T2"
"EUSF01020","ZUSF01342","VUSF02039","S4T2"
"EUSF01020","ZUSF01342","VUSF02040","S4T2"
"EUSF01025","ZUSF01348","VUSF02049","S4T2"
"EUSF01025","ZUSF01348","VUSF02050","S4T2"
"EUSF01035","ZUSF01358","VUSF02069","S4T3"
"EUSF01035","ZUSF01358","VUSF02070","S4T3"
"EUSF01047","ZUSF01372","VUSF02093","S4T4"
"EUSF01047","ZUSF01372","VUSF02094","S4T4"
"EUSF01069","ZUSF01402","VUSF02137","S1T3"
"EUSF01069","ZUSF01402","VUSF02138","S1T3"
"EUSF01131","ZUSF01480","VUSF02261","S5T2"
"EUSF01131","ZUSF01480","VUSF02262","S5T2"
"EUSF01137","ZUSF01486","VUSF02273","S5T2"
"EUSF01137","ZUSF01486","VUSF02274","S5T2"
"EUSF01142","ZUSF01491","VUSF02283","S5T3"
"EUSF01142","ZUSF01491","VUSF02284","S5T3"
"EUSF01226","ZUSF01587","VUSF02451","S5T5"
"EUSF01226","ZUSF01587","VUSF02452","S5T5"
"EUSF01236","ZUSF01598","VUSF02471","S6T1"
"EUSF01236","ZUSF01598","VUSF02472","S6T1"
"EUSF01243","ZUSF01605","VUSF02485","S6T1"
"EUSF01243","ZUSF01605","VUSF02486","S6T1"
"EUSF01264","ZUSF01629","VUSF02527","S6T1"
"EUSF01264","ZUSF01629","VUSF02528","S6T1"
"EUSF01265","ZUSF01630","VUSF02529","S6T1"
"EUSF01265","ZUSF01630","VUSF02530","S6T1"
"EUSF01267","ZUSF01632","VUSF02533","S6T2"
"EUSF01267","ZUSF01632","VUSF02534","S6T2"
"EUSF01275","ZUSF01641","VUSF02549","S6T2"
"EUSF01275","ZUSF01641","VUSF02550","S6T2"
"EUSF01277","ZUSF01643","VUSF02553","S6T2"
"EUSF01277","ZUSF01643","VUSF02554","S6T2"
"EUSF01278","ZUSF01644","VUSF02555","S6T2"
"EUSF01278","ZUSF01644","VUSF02556","S6T2"
"EUSF01279","ZUSF01645","VUSF02557","S6T2"
"EUSF01279","ZUSF01645","VUSF02558","S6T2"
"EUSF01281","ZUSF01647","VUSF02561","S6T2"
"EUSF01281","ZUSF01647","VUSF02562","S6T2"
"EUSF01282","ZUSF01648","VUSF02563","S6T2"
"EUSF01282","ZUSF01648","VUSF02564","S6T2"
"EUSF01284","ZUSF01651","VUSF02567","S6T2"
"EUSF01284","ZUSF01651","VUSF02568","S6T2"
"EUSF01285","ZUSF01652","VUSF02569","S6T2"
"EUSF01285","ZUSF01652","VUSF02570","S6T2"
"EUSF01287","ZUSF01654","VUSF02573","S6T2"
"EUSF01287","ZUSF01654","VUSF02574","S6T2"
"EUSF01288","ZUSF01655","VUSF02575","S6T2"
"EUSF01288","ZUSF01655","VUSF02576","S6T2"
"EUSF01289","ZUSF01656","VUSF02577","S6T2"
"EUSF01289","ZUSF01656","VUSF02578","S6T2"
"EUSF01290","ZUSF01657","VUSF02579","S6T2"
"EUSF01290","ZUSF01657","VUSF02580","S6T2"
"EUSF01291","ZUSF01658","VUSF02581","S6T2"
"EUSF01291","ZUSF01658","VUSF02582","S6T2"
"EUSF01292","ZUSF01659","VUSF02583","S6T2"
"EUSF01292","ZUSF01659","VUSF02584","S6T2"
"EUSF01293","ZUSF01663","VUSF02585","S6T2"
"EUSF01293","ZUSF01663","VUSF02586","S6T2"
"EUSF01299","ZUSF01669","VUSF02597","S6T3"
"EUSF01299","ZUSF01669","VUSF02598","S6T3"
"EUSF01303","ZUSF01673","VUSF02605","S6T3"
"EUSF01303","ZUSF01673","VUSF02606","S6T3"
"EUSF01306","ZUSF01676","VUSF02611","S6T3"
"EUSF01306","ZUSF01676","VUSF02612","S6T3"
"EUSF01308","ZUSF01680","VUSF02615","S6T3"
"EUSF01308","ZUSF01680","VUSF02616","S6T3"
"EUSF01311","ZUSF01683","VUSF02621","S6T3"
"EUSF01311","ZUSF01683","VUSF02622","S6T3"
"EUSF01316","ZUSF01688","VUSF02631","S6T3"
"EUSF01316","ZUSF01688","VUSF02632","S6T3"
"EUSF01317","ZUSF01689","VUSF02633","S6T3"
"EUSF01317","ZUSF01689","VUSF02634","S6T3"
"EUSF01321","ZUSF01694","VUSF02641","S6T3"
"EUSF01321","ZUSF01694","VUSF02642","S6T3"
"EUSF01322","ZUSF01695","VUSF02643","S6T3"
"EUSF01322","ZUSF01695","VUSF02644","S6T3"
"EUSF01324","ZUSF01697","VUSF02647","S6T3"
"EUSF01324","ZUSF01697","VUSF02648","S6T3"
"EUSF01327","ZUSF01701","VUSF02653","S6T3"
"EUSF01327","ZUSF01701","VUSF02654","S6T3"
"EUSF01331","ZUSF01705","VUSF02661","S6T4"
"EUSF01331","ZUSF01705","VUSF02662","S6T4"
"EUSF01332","ZUSF01707","VUSF02663","S6T3"
"EUSF01332","ZUSF01707","VUSF02664","S6T3"
"EUSF01333","ZUSF01708","VUSF02665","S6T4"
"EUSF01333","ZUSF01708","VUSF02666","S6T4"
"EUSF01334","ZUSF01709","VUSF02667","S6T4"
"EUSF01334","ZUSF01709","VUSF02668","S6T4"
"EUSF01340","ZUSF01725","VUSF02679","S6T4"
"EUSF01340","ZUSF01725","VUSF02680","S6T4"
"EUSF01342","ZUSF01728","VUSF02683","S6T4"
"EUSF01342","ZUSF01728","VUSF02684","S6T4"
"EUSF01343","ZUSF01731","VUSF02685","S6T4"
"EUSF01343","ZUSF01731","VUSF02686","S6T4"
"EUSF01346","ZUSF01735","VUSF02691","S6T4"
"EUSF01346","ZUSF01735","VUSF02692","S6T4"
"EUSF01347","ZUSF01738","VUSF02693","S6T5"
"EUSF01347","ZUSF01738","VUSF02694","S6T5"
"EUSF01348","ZUSF01744","VUSF02695","S6T5"
"EUSF01348","ZUSF01744","VUSF02696","S6T5"
"EUSF01349","ZUSF01745","VUSF02697","S6T5"
"EUSF01349","ZUSF01745","VUSF02698","S6T5"
"EUSF01352","ZUSF01751","VUSF02703","S6T5"
"EUSF01352","ZUSF01751","VUSF02704","S6T5"
"EUSF01353","ZUSF01752","VUSF02705","S6T5"
"EUSF01353","ZUSF01752","VUSF02706","S6T5"
"EUSF01354","ZUSF01754","VUSF02707","S6T5"
"EUSF01354","ZUSF01754","VUSF02708","S6T5"
"EUSF01357","ZUSF01764","VUSF02713","S5T2"
"EUSF01357","ZUSF01764","VUSF02714","S5T2"
"EUSF01358","ZUSF01765","VUSF02715","S4T1"
"EUSF01358","ZUSF01765","VUSF02716","S4T1"
"EUSF01359","ZUSF01766","VUSF02717","S4T1"
"EUSF01359","ZUSF01766","VUSF02718","S4T1"
"EUSF01360","ZUSF01767","VUSF02719","S6T3"
"EUSF01360","ZUSF01767","VUSF02720","S6T3"
"EUSF01362","ZUSF01769","VUSF02723","S5T2"
"EUSF01362","ZUSF01769","VUSF02724","S5T2"
"EUSF01363","ZUSF01770","VUSF02725","S5T2"
"EUSF01363","ZUSF01770","VUSF02726","S5T2"
