Personnel,Label_ID,Plant_sample_ID,Culture_Label_ID,Culture_colony_ID,Date,Protocol_used,Notes
EmmaG,EUSF00001,,ZUSF00641,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF00002,,ZUSF00296,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF00003,,ZUSF00609,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF00004,,ZUSF00438,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF00005,,ZUSF00648,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF00006,,ZUSF00649,,2017-06-16,Tissue Extract-N-Amp,
EmmaG,EUSF00007,,ZUSF00549,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00008,,ZUSF00310,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00009,,ZUSF00474,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00010,,ZUSF00308,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00011,,ZUSF00484,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00012,,ZUSF00495,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00013,,ZUSF00187,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00014,,ZUSF00264,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00015,,ZUSF00341,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00016,,ZUSF00199,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00017,,ZUSF00232,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00018,,ZUSF00215,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00019,,ZUSF00486,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00020,,ZUSF00355,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00021,,ZUSF00462,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00022,,ZUSF00548,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00023,,ZUSF00636,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00024,,ZUSF00607,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00025,,ZUSF00454,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00026,,ZUSF00480,,2017-06-27,Tissue Extract-N-Amp,
EmmaG,EUSF00027,,ZUSF00529,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00028,,ZUSF00176,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00029,,ZUSF00354,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00030,,ZUSF00415,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00031,,ZUSF00455,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00032,,ZUSF00583,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00033,,ZUSF00572,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00034,,ZUSF00492,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00035,,ZUSF00543,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00036,,ZUSF00518,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00037,,ZUSF00494,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00038,,ZUSF00571,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00039,,ZUSF00188,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00040,,ZUSF00343,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00041,,ZUSF00164,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00042,,ZUSF00497,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00043,,ZUSF00229,,2017-07-13,Tissue Extract-N-Amp,
EmmaG,EUSF00044,,ZUSF00197,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00045,,ZUSF00514,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00046,,ZUSF00513,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00047,,ZUSF00209,,2017-07-17,Tissue Extract-N-Amp,"opened in the bead-beater (7/16), redid (7/17)"
EmmaG,EUSF00048,,ZUSF00424,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00049,,ZUSF00158,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00050,,ZUSF00324,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00051,,ZUSF00498,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00052,,ZUSF00522,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00053,,ZUSF00340,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00054,,ZUSF00279,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00055,,ZUSF00340,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00056,,ZUSF00593,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00057,,ZUSF00631,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00058,,ZUSF00429,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00059,,ZUSF00326,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00060,,ZUSF00312,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00061,,ZUSF00532,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00062,,ZUSF00587,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00063,,ZUSF00345,,2017-07-16,Tissue Extract-N-Amp,
EmmaG,EUSF00064,,ZUSF00195,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00065,,ZUSF00271,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00066,,ZUSF00294,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00067,,ZUSF00287,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00068,,ZUSF00368,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00069,,ZUSF00370,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00070,,ZUSF00275,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00071,,ZUSF00304,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00072,,ZUSF00272,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00073,,ZUSF00254,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00074,,ZUSF00227,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00075,,ZUSF00510,,2017-07-17,Tissue Extract-N-Amp,
EmmaG,EUSF00076,,ZUSF00299,,2017-07-17,Tissue Extract-N-Amp,
