Tree_ID,Site_ID,Site_name,Tree_rep,Date_sampled,Date_cultured_slants,Lat_m,Long_m,Projection,Elevation_ft,DBH_cm,Note,isolation_freq
Test Sample,Parker,USF Parker,1,2017-03-30,2017-03-30,,,UTM 10S,,,guess at culturing date,
S1T1,S1,Balboa and 27th,1,2017-04-02,2017-04-04,545194,4181103,UTM 10S,208,,guess at lat,37/100
S1T2,S1,Balboa and 27th,2,2017-04-02,2017-04-04,545188,4181102,UTM 10S,211,,,82/100
S1T3,S1,Balboa and 27th,3,2017-04-02,2017-04-04,545200,4181115,UTM 10S,215,,,36/100
S1T4,S1,Balboa and 27th,4,2017-04-02,2017-04-04,545186,4181117,UTM 10S,215,,,16/100
S2T1,S2,Montgomery and Washington,1,2017-04-02,2017-04-04,552562,4183306,UTM 10S,38,,,15/105
S2T2,S2,Montgomery and Washington,2,2017-04-02,2017-04-04,552566,4183277,UTM 10S,42,,,6/100
S2T3,S2,Montgomery and Washington,3,2017-04-02,2017-04-04,552566,4183277,UTM 10S,42,,,18/100
S2T4,S2,Montgomery and Washington,4,2017-04-02,2017-04-04,552566,4183277,UTM 10S,42,,,17/17
S3T1,S3,Burlwood and Los Palmos,1,2017-04-02,2017-04-04,548008,4176547,UTM 10S,587,,,38/100
S3T2,S3,Burlwood and Los Palmos,2,2017-04-02,2017-04-04,548008,4176547,UTM 10S,587,,,56/99
S3T3,S3,Burlwood and Los Palmos,3,2017-04-02,2017-04-04,548010,4176550,UTM 10S,604,,,41/99
S3T4,S3,Burlwood and Los Palmos,4,2017-04-02,2017-04-04,548010,4176550,UTM 10S,605,,,40/101
S1T1-B,S1B,Balboa and 27th,1,2017-08-26,2017-08-28,545184,4181103,UTM 10S,221,13.6,,39/100
S1T2-B,S1B,Balboa and 27th,2,2017-08-26,2017-08-28,545184,4181103,UTM 10S,221,8.8,,42/100
S1T3-B,S1B,Balboa and 27th,3,2017-08-26,2017-08-28,545202,4181119,UTM 10S,211,14,,38/100
S1T4-B,S1B,Balboa and 27th,4,2017-08-26,2017-08-28,545187,4181121,UTM 10S,211,13.3,,50/98
S1T5-B,S1B,Balboa and 27th,5,2017-08-26,2017-08-28,545187,4181121,UTM 10S,211,16.1,,50/91
S2T1-B,S2B,Montgomery and Washington,1,2017-08-26,2017-08-27,586694,4092320,UTM 10S,102,22,elevation from Google maps,27/140
S2T2-B,S2B,Montgomery and Washington,2,2017-08-26,2017-08-27,586694,4092320,UTM 10S,102,25.2,elevation from Google maps,30/140
S2T3-B,S2B,Montgomery and Washington,3,2017-08-26,2017-08-27,586694,4092320,UTM 10S,85,28,elevation from Google maps,14/140
S2T4-B,S2B,Montgomery and Washington,4,2017-08-26,2017-08-27,586694,4909232,UTM 10S,85,29.5,elevation from Google maps,49/140
S2T5-B,S2B,Montgomery and Washington,5,2017-08-26,2017-08-27,586694,4092320,UTM 10S,95,27.8,elevation from Google maps,29/140
S3T1-B,S3B,Burlwood and Los Palmos,1,2017-08-26,2017-08-27,548002,4176546,UTM 10S,607,36.8,,80/101
S3T2-B,S3B,Burlwood and Los Palmos,2,2017-08-26,2017-08-27,548030,4176547,UTM 10S,596,30.8,,65/100
S3T3-B,S3B,Burlwood and Los Palmos,3,2017-08-26,2017-08-27,548024,4176547,UTM 10S,608,46.4,,76/101
S3T4-B,S3B,Burlwood and Los Palmos,4,2017-08-26,2017-08-27,548037,4176560,UTM 10S,608,35.5,,72/101
S3T5-B,S3B,Burlwood and Los Palmos,5,2017-08-26,2017-08-27,548037,4176560,UTM 10S,608,40.9,,84/100
S4T1-B,S4B,Cargo Way and Jennings,1,2017-08-26,2017-08-27,554875,4177158,UTM 10S,21,61.8,,62/100
S4T2-B,S4B,Cargo Way and Jennings,2,2017-08-26,2017-08-27,554877,4177168,UTM 10S,21,48.4,,53/100
S4T3-B,S4B,Cargo Way and Jennings,3,2017-08-26,2017-08-27,554877,4177168,UTM 10S,21,24,,16/100
S4T4-B,S4B,Cargo Way and Jennings,4,2017-08-26,2017-08-27,554865,4177173,UTM 10S,21,33.7,several dead areas,41/100
S4T5-B,S4B,Cargo Way and Jennings,5,2017-08-26,2017-08-27,554851,4177220,UTM 10S,22,28,,9/100
S5T1-B,S5B,Alemary and Putnam,1,2017-08-26,2017-08-27,552030,4176674,UTM 10S,29,28.7,flowering & lots of dead branches,34/100
S5T2-B,S5B,Alemary and Putnam,2,2017-08-26,2017-08-27,552022,4176665,UTM 10S,29,21.4,,70/99
S5T3-B,S5B,Alemary and Putnam,3,2017-08-26,2017-08-27,552004,4176639,UTM 10S,29,22.2,,49/99
S5T4-B,S5B,Alemary and Putnam,4,2017-08-26,2017-08-27,551987,4176634,UTM 10S,29,15.4,,65/100
S5T5-B,S5B,Alemary and Putnam,5,2017-08-26,2017-08-27,551987,4176634,UTM 10S,30,17.9,,43/100
S6T1-B,S6B,Kirkham and Great Highway,1,2017-08-26,2017-08-28,543254,4172025,UTM 10S,42,13,elevation from Google maps,48/99
S6T2-B,S6B,Kirkham and Great Highway,2,2017-08-26,2017-08-28,543258,4179038,UTM 10S,42,20.1,elevation from Google maps,38/100
S6T3-B,S6B,Kirkham and Great Highway,3,2017-08-26,2017-08-28,543258,4179038,UTM 10S,42,22,lots of rust & dead branches; elevation from Google maps,50/101
S6T4-B,S6B,Kirkham and Great Highway,4,2017-08-26,2017-08-28,543258,4179038,UTM 10S,49,21.5,elevation from Google maps,35/100
S6T5-B,S6B,Kirkham and Great Highway,5,2017-08-26,2017-08-28,543258,4179038,UTM 10S,46,26.5,elevation from Google maps,28/99
