strain_name,Phylum,Order,GenusSpecies,AFTOL-ID,Strain_voucher,x18S,x28S,RPB1,RPB2,EF1A,nucITS,PreviousName
1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
1005_Acarospora_schleicheri,Ascomycota,Acarosporales, Acarospora schleicheri,1005,23865, AY640986, AY640945, DQ782859, AY641026, --, DQ525529,
78_Acarosporina_microspora,Ascomycota,Ostropales, Acarosporina microspora ,78, CBS 338.39, AY584667, AY584643, DQ782818, AY584682, DQ782890, DQ782834,
684_Agonimia_cf_repleta,Ascomycota,Verrucariales, Agonimia_cf_repleta,684,45172, DQ782885, DQ782913, DQ782853, DQ782874, DQ782917, DQ826742,Agonimia sp. 
65_Aleuria_aurantia,Ascomycota,Pezizales, Aleuria aurantia ,65, OSC 100018, AY544698, AY544654, DQ471120, DQ247785, DQ466085, DQ491495,
300_Allomyces_arbusculus,Chytridiomycota,Blastocladiales, Allomyces arbusculus ,300, Brazil 2, AY552524, AY552525, DQ294578, DQ302765, paralog, AY997028,
673_Amanita_brunnescens,Basidiomycota,Agaricales, Amanita brunnescens ,673, PBM 2429, AY707096, AY631902, AY788847, AY780936, AY881021, AY789079,
542_Ampulloclitocybe_clavipes,Basidiomycota,Agaricales, Ampulloclitocybe clavipes ,542, PBM 2474, AY771612, AY639881, AY788848, AY780937, AY881022, AY789080,
101_Anisomeridium_polypori,Ascomycota,Pyrenulales, Anisomeridium polypori ,101, 4237a, DQ782877, DQ782906, DQ782822, DQ782864, DQ782894, DQ782838,
Arabidopsis_thaliana,Plantae,, Arabidopsis thaliana ,, GenBank, X52322, X52322, NM_119746 , NM_118291 , AY133532, X52322,
449_Armillaria_mellea,Basidiomycota,Agaricales, Armillaria mellea ,449, PBM 2470, AY787217, AY700194, AY788849, AY780938, AY881023, AY789081,
181_Ascobolus_crenulatus,Ascomycota,Pezizales, Ascobolus crenulatus ,181, KH.02.005, AY544721, AY544678, DQ471132, DQ470893, DQ471061, DQ491504,
1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
1080_Aspergillus_nidulans,Ascomycota,Eurotiales, Aspergillus nidulans ,1080, GenBank, ENU77377, AF454167, XM_653321 , XM_677297 , XM_656730 , AY373888,
110_Astrothelium_cinnamomeum,Ascomycota,Pyrenulales, Astrothelium_cinnamomeum,110, 15322b, AY584676, AY584652, DQ782824, AY584690, DQ782896, DQ782839,Trypethelium sp.
576_Athelia_cf_epiphylla,Basidiomycota,Aphyllophorales, Athelia_cf_epiphylla,576, LA082103L, AY654887, AY635779, AH014577, AY885161, AY879115, AY854062,Fibulorhizoctonia sp.
713_Aureoboletus_projectellus,Basidiomycota,Boletales, Aureoboletus_projectellus,713, MB 03-118, AY662660, AY684158, AY788850, AY787218, AY879116, AY789082,Boletellus projectellus
642_Bacidia_schweinitzii,Ascomycota,Lecanorales, Bacidia schweinitzii ,642, 03.07.04-3, DQ782884, DQ782911, DQ782830, DQ782872, DQ782902, DQ782850,
301_Basidiobolus_ranarum,Zygomycota,Entomoph-thorales, Basidiobolus ranarum ,301, NRRL34594, AY635841, DQ273807, DQ294589, DQ302777, DQ282610, AY997030,
21_Batrachochytrium_dendrobatidis,Chytridiomycota,Chytridiales, Batrachochytrium dendrobatidis ,21, JEL197, AF051932, AY546693, DQ294583, DQ302769, DQ282602, AY997031,
54_Bipolaris_maydis,Ascomycota,Pleosporales, Bipolaris_maydis,54, CBS 134.39, AY544727, AY544645, DQ518183, DQ247790, DQ497603, DQ491489,Cochliobolus heterostrophus
452_Bondarzewia_montana,Basidiomycota,Aphyllophorales, Bondarzewia montana ,452, DAOM 415, U59063, DQ234539, DQ256049, AY218474, DQ059044, DQ200923,
689_Boothiomyces_macroporosum,Chytridiomycota,Chytridiales, Boothiomyces_macroporosum ,689, PL AUS 21, DQ322622, DQ273823, DQ294600, DQ302793, DQ282603, AY997084,Rhizophydium macroporosum
59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
Caenorhabditis_elegans,Animalia,, Caenorhabditis elegans ,, GenBank, X03680, X03680, NM_068122 , NM_065646 , NM_076922 , X03680,
438_Calocera_cornea,Basidiomycota,Dacrymycetales, Calocera cornea ,438, GEL 5359, AY771610, AY701526, AY857980, AY536286, AY881019, AY789083,
152_Caloscypha_fulgens,Ascomycota,Pezizales, Caloscypha fulgens ,152, OSC 100062, DQ247807, DQ247799, DQ471126, DQ247787, DQ471054, DQ491483,
439_Calostoma_cinnabarinum,Basidiomycota,Boletales, Calostoma cinnabarinum ,439, AW 136, AY665773, AY645054, AY857979, AY780939, AY879117, AY854064,
1074_Candida_albicans,Ascomycota,Saccharo-mycetales, Candida albicans ,1074, GenBank, AACQ01000290 REGION: 7072.. 8646 , AACQ01000290 REGION: 9209.. 10587 , XM_714321 , XM_713346 , XM_706806 , AF455531,
1073_Candida_glabrata,Ascomycota,Saccharo-mycetales, Candida glabrata ,1073, GenBank, AY198398, AY198398, XM_447415 , XM_448959 , XM_448561 , AY198398,
1269_Candida_tropicalis,Ascomycota,Saccharo-mycetales, Candida tropicalis ,1269, GenBank, M55527, AAFN01000124 REGION: 191890..193271 , AAFN01000119 REGION: 2828.. 5441 , AY485615 , AAFN01000051 REGION: 10387 .. 11574 , AF321539,
6_Canoparmelia_caroliniana,Ascomycota,Lecanorales, Canoparmelia caroliniana ,6, 01-26-03.20, AY584658, AY584634, DQ782817, AY584683, DQ782889, DQ782833,
939_Capnodium_coffeae,Ascomycota,Capnodiales, Capnodium coffeae ,939, CBS 147.52, DQ247808, DQ247800, DQ471162, DQ247788, DQ471089, DQ491515,
