OTU0	EUSF01021
OTU1	EUSF00785
OTU2	EUSF00956
OTU3	EUSF00961
OTU4	EUSF00954
OTU5	EUSF01005
OTU6	EUSF00793
OTU7	EUSF00963
OTU8	EUSF00897
OTU9	EUSF00874
OTU10	EUSF00663
OTU11	EUSF00640
OTU12	EUSF00636
OTU13	EUSF00715
OTU14	EUSF00948
OTU15	EUSF00933
OTU16	EUSF01694
OTU17	EUSF01546
OTU18	EUSF01215
OTU19	EUSF01092
OTU20	EUSF01091
OTU21	EUSF01088
OTU22	EUSF01067
OTU23	EUSF01064
OTU24	EUSF00726
OTU25	EUSF00665
OTU26	EUSF00648
OTU27	EUSF00634
OTU28	EUSF00598
OTU29	EUSF00960
OTU30	EUSF00786
OTU31	EUSF00751
OTU32	EUSF00667
OTU33	EUSF01063
OTU34	EUSF00601
OTU35	EUSF01542
OTU36	EUSF00718
OTU37	EUSF00602
OTU38	EUSF00651
OTU39	EUSF00792
OTU40	EUSF01151
OTU41	EUSF01085
OTU42	EUSF01076
OTU43	EUSF01202
OTU44	EUSF00949
OTU45	EUSF01010
OTU46	EUSF00580
OTU47	EUSF01211
OTU48	EUSF01616
OTU49	EUSF01530
OTU50	EUSF00556
OTU51	EUSF01419
OTU52	EUSF01532
OTU53	EUSF01611
OTU54	EUSF01206
OTU55	EUSF00589
OTU56	EUSF00664
OTU57	EUSF00620
OTU58	EUSF01633
OTU59	EUSF01434
OTU60	EUSF00546
OTU61	EUSF01118
OTU62	EUSF01323
OTU63	EUSF00661
OTU64	EUSF00653
OTU65	EUSF01876
OTU66	EUSF01953
OTU67	EUSF01429
OTU68	EUSF01941
OTU69	EUSF01318
OTU70	EUSF01083
OTU71	EUSF00880
OTU72	EUSF00574
OTU73	EUSF01859
OTU74	EUSF01471
OTU75	EUSF01335
OTU76	EUSF00686
OTU77	EUSF00627
OTU78	EUSF01862
OTU79	EUSF00642
OTU80	EUSF01924
OTU81	EUSF01702
OTU82	EUSF01123
OTU83	EUSF00576
OTU84	EUSF00650
OTU85	EUSF01943
OTU86	EUSF00584
OTU87	EUSF01544
OTU88	EUSF00898
OTU89	EUSF01687
OTU90	EUSF01269
OTU91	EUSF00964
OTU92	EUSF01929
OTU93	EUSF01690
OTU94	EUSF00819
OTU95	EUSF01432
OTU96	EUSF01207
OTU97	EUSF00934
OTU98	EUSF01904
OTU99	EUSF00990
OTU100	EUSF00562
OTU101	EUSF01430
OTU102	EUSF00988
OTU103	EUSF00976
OTU104	EUSF00958
OTU105	EUSF00632
OTU106	EUSF00989
OTU107	EUSF00981
OTU108	EUSF00973
OTU109	EUSF00552
OTU110	EUSF00983
OTU111	EUSF00951
OTU112	EUSF00931
OTU113	EUSF00911
OTU114	EUSF00698
OTU115	EUSF00676
OTU116	EUSF01450
OTU117	EUSF01387
OTU118	EUSF01100
OTU119	EUSF00986
OTU120	EUSF00935
OTU121	EUSF00928
OTU122	EUSF00908
OTU123	EUSF01440
OTU124	EUSF00991
OTU125	EUSF00957
OTU126	EUSF00953
OTU127	EUSF00941
OTU128	EUSF00924
OTU129	EUSF00868
OTU130	EUSF00827
OTU131	EUSF00788
OTU132	EUSF00700
OTU133	EUSF00693
OTU134	EUSF00692
OTU135	EUSF00688
OTU136	EUSF00684
OTU137	EUSF00678
OTU138	EUSF00670
OTU139	EUSF01871
OTU140	EUSF00727
OTU141	EUSF01958
OTU142	EUSF01714
OTU143	EUSF01703
OTU144	EUSF01526
OTU145	EUSF01448
OTU146	EUSF01374
OTU147	EUSF01364
OTU148	EUSF01041
OTU149	EUSF00999
OTU150	EUSF00923
OTU151	EUSF00920
OTU152	EUSF00916
OTU153	EUSF00906
OTU154	EUSF00905
OTU155	EUSF00902
OTU156	EUSF00901
OTU157	EUSF00839
OTU158	EUSF00708
OTU159	EUSF00706
OTU160	EUSF00697
OTU161	EUSF00683
OTU162	EUSF00674
OTU163	EUSF00652
OTU164	EUSF00646
OTU165	EUSF00644
OTU166	EUSF00643
OTU167	EUSF00639
OTU168	EUSF00630
OTU169	EUSF00625
OTU170	EUSF00622
OTU171	EUSF01527
OTU172	EUSF01351
OTU173	EUSF00970
OTU174	EUSF00965
OTU175	EUSF00962
OTU176	EUSF00946
OTU177	EUSF00943
OTU178	EUSF00939
OTU179	EUSF00936
OTU180	EUSF00932
OTU181	EUSF00925
OTU182	EUSF00913
OTU183	EUSF00909
OTU184	EUSF00899
OTU185	EUSF00875
OTU186	EUSF00829
OTU187	EUSF00820
OTU188	EUSF00817
OTU189	EUSF00816
OTU190	EUSF00801
OTU191	EUSF00725
OTU192	EUSF00681
OTU193	EUSF00680
OTU194	EUSF00675
OTU195	EUSF00668
OTU196	EUSF00662
OTU197	EUSF00645
OTU198	EUSF00637
OTU199	EUSF00618
OTU200	EUSF00617
OTU201	EUSF00616
OTU202	EUSF00603
OTU203	EUSF00536
OTU204	EUSF00520
OTU205	EUSF01701
OTU206	EUSF01256
OTU207	EUSF00803
OTU208	EUSF00721
OTU209	EUSF00714
OTU210	EUSF00711
OTU211	EUSF00689
OTU212	EUSF00687
OTU213	EUSF01923
OTU214	EUSF01619
OTU215	EUSF01451
OTU216	EUSF01416
OTU217	EUSF01371
OTU218	EUSF01197
OTU219	EUSF01180
OTU220	EUSF01171
OTU221	EUSF01126
OTU222	EUSF01027
OTU223	EUSF00984
OTU224	EUSF00940
OTU225	EUSF00917
OTU226	EUSF00904
OTU227	EUSF00883
OTU228	EUSF00879
OTU229	EUSF00859
OTU230	EUSF00842
OTU231	EUSF00821
OTU232	EUSF00702
OTU233	EUSF00690
OTU234	EUSF00649
OTU235	EUSF00604
OTU236	EUSF01593
OTU237	EUSF01355
OTU238	EUSF01266
OTU239	EUSF01262
OTU240	EUSF01152
OTU241	EUSF01017
OTU242	EUSF01011
OTU243	EUSF01003
OTU244	EUSF00947
OTU245	EUSF00907
OTU246	EUSF00783
OTU247	EUSF00656
OTU248	EUSF00528
OTU249	EUSF01878
OTU250	EUSF01870
OTU251	EUSF01867
OTU252	EUSF01858
OTU253	EUSF01524
OTU254	EUSF01229
OTU255	EUSF01219
OTU256	EUSF01213
OTU257	EUSF01074
OTU258	EUSF01060
OTU259	EUSF01057
OTU260	EUSF01049
OTU261	EUSF01043
OTU262	EUSF01042
OTU263	EUSF01028
OTU264	EUSF01018
OTU265	EUSF01015
OTU266	EUSF01014
OTU267	EUSF01001
OTU268	EUSF01000
OTU269	EUSF00998
OTU270	EUSF00896
OTU271	EUSF00887
OTU272	EUSF00669
OTU273	EUSF00631
OTU274	EUSF00628
OTU275	EUSF00624
OTU276	EUSF00619
OTU277	EUSF00607
OTU278	EUSF00606
OTU279	EUSF00522
OTU280	EUSF01964
OTU281	EUSF01962
OTU282	EUSF01951
OTU283	EUSF01872
OTU284	EUSF01857
OTU285	EUSF01708
OTU286	EUSF01707
OTU287	EUSF01534
OTU288	EUSF01294
OTU289	EUSF01254
OTU290	EUSF01210
OTU291	EUSF01157
OTU292	EUSF01087
OTU293	EUSF01065
OTU294	EUSF01062
OTU295	EUSF01056
OTU296	EUSF01046
OTU297	EUSF01008
OTU298	EUSF00994
OTU299	EUSF00993
OTU300	EUSF00992
OTU301	EUSF00987
OTU302	EUSF00791
OTU303	EUSF00782
OTU304	EUSF00767
OTU305	EUSF00766
OTU306	EUSF00750
OTU307	EUSF00695
OTU308	EUSF00615
OTU309	EUSF01965
OTU310	EUSF01868
OTU311	EUSF01686
OTU312	EUSF01626
OTU313	EUSF01621
OTU314	EUSF01548
OTU315	EUSF01545
OTU316	EUSF01540
OTU317	EUSF01539
OTU318	EUSF01136
OTU319	EUSF01133
OTU320	EUSF01111
OTU321	EUSF01110
OTU322	EUSF01073
OTU323	EUSF01059
OTU324	EUSF01050
OTU325	EUSF01039
OTU326	EUSF00769
OTU327	EUSF01970
OTU328	EUSF01952
OTU329	EUSF01947
OTU330	EUSF01928
OTU331	EUSF01882
OTU332	EUSF01856
OTU333	EUSF01341
OTU334	EUSF01336
OTU335	EUSF01273
OTU336	EUSF01242
OTU337	EUSF01146
OTU338	EUSF01078
OTU339	EUSF01075
OTU340	EUSF01048
OTU341	EUSF00995
OTU342	EUSF00841
OTU343	EUSF00822
OTU344	EUSF00647
OTU345	EUSF00611
OTU346	EUSF00600
OTU347	EUSF01957
OTU348	EUSF01946
OTU349	EUSF01921
OTU350	EUSF01879
OTU351	EUSF01854
OTU352	EUSF01695
OTU353	EUSF01614
OTU354	EUSF01306
OTU355	EUSF01220
OTU356	EUSF01128
OTU357	EUSF01112
OTU358	EUSF01089
OTU359	EUSF01045
OTU360	EUSF01026
OTU361	EUSF01006
OTU362	EUSF00929
OTU363	EUSF00921
OTU364	EUSF00900
OTU365	EUSF00833
OTU366	EUSF00774
OTU367	EUSF00730
OTU368	EUSF01718
OTU369	EUSF01705
OTU370	EUSF01602
OTU371	EUSF01522
OTU372	EUSF01441
OTU373	EUSF01255
OTU374	EUSF01253
OTU375	EUSF01250
OTU376	EUSF01084
OTU377	EUSF00975
OTU378	EUSF00918
OTU379	EUSF00836
OTU380	EUSF00722
OTU381	EUSF00673
OTU382	EUSF00638
OTU383	EUSF00623
OTU384	EUSF01950
OTU385	EUSF01949
OTU386	EUSF01721
OTU387	EUSF01720
OTU388	EUSF01717
OTU389	EUSF01711
OTU390	EUSF01241
OTU391	EUSF01222
OTU392	EUSF01161
OTU393	EUSF01160
OTU394	EUSF01054
OTU395	EUSF00969
OTU396	EUSF00952
OTU397	EUSF00894
OTU398	EUSF00856
OTU399	EUSF00809
OTU400	EUSF00796
OTU401	EUSF00790
OTU402	EUSF00732
OTU403	EUSF00729
OTU404	EUSF00728
OTU405	EUSF00709
OTU406	EUSF00704
OTU407	EUSF00696
OTU408	EUSF00679
OTU409	EUSF00672
OTU410	EUSF00540
OTU411	EUSF00523
OTU412	EUSF01715
OTU413	EUSF01700
OTU414	EUSF01608
OTU415	EUSF01536
OTU416	EUSF01376
OTU417	EUSF01295
OTU418	EUSF01286
OTU419	EUSF00985
OTU420	EUSF00972
OTU421	EUSF00919
OTU422	EUSF00910
OTU423	EUSF00893
OTU424	EUSF00760
