Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common order-level assignment,Order-level assignment,Taxon assignment,otu,otu_references,strain_name,Phylum,Order,Genusspecies,AFTOL-ID,Strain_voucher,x18S,x28S,RPB1,RPB2,EF1A,nucITS,PreviousName
EUSF00513,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU449,,935_Diaporthe_eres,Ascomycota,Diaporthales, Diaporthe eres ,935, CBS 109767, DQ471015, AF408350, --, DQ470919, DQ479931, DQ491514,
EUSF00514,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU921,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00515,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU486,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00517,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU606,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00518,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU634,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00520,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU204,,51_Xylaria_hypoxylon,Ascomycota,Xylariales, Xylaria hypoxylon ,51, OSC 100004, AY544692, AY544648, DQ471114, DQ470878, DQ471042, DQ491487,
EUSF00521,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU799,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00522,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU279,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF00523,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU411,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00524,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU821,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00525,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU659,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00526,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU718,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00527,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU920,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00528,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU248,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF00529,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU919,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00530,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU918,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00531,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU917,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00532,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU701,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00533,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU916,"OTU918,OTU883,OTU917,OTU882,OTU881,OTU877,OTU897,OTU915,OTU878,OTU873,OTU886,OTU884,OTU889,OTU914,OTU901,OTU900,OTU899,OTU906,OTU907,OTU880,OTU890,OTU879,OTU885,OTU903,OTU902,OTU912,OTU921,OTU913,OTU904,OTU920,OTU919,OTU876,OTU910,OTU909,OTU905,OTU887,OTU894,OTU895,OTU896,OTU893,OTU911,OTU908,OTU891,OTU957,OTU940,OTU949,OTU956,OTU946,OTU953,OTU952,OTU951,OTU954,OTU944,OTU950,OTU945,OTU948,OTU955,OTU942,OTU978,OTU977,OTU979,OTU982,OTU981,OTU993,OTU990,OTU992,OTU989,OTU991,OTU973,OTU970,OTU969,OTU972,49_Lachnum_virgineum,59_Botrytis_cinerea,166_Cudoniella_clavus,279_Monilinia_fructicola,OTU962,OTU961,OTU967,OTU968,274_Dothidea_sambuci,921_Dothidea_insculpta,OTU862,OTU820,OTU875,OTU937,OTU997,OTU998,OTU988,OTU975,OTU931,OTU819,OTU825,OTU865,OTU867,OTU929,OTU985,OTU983,687_Hypocenomyce_scalaris,1007_Acarospora_laqueata,1004_Pleopsidium_chlorophanum,76_Mollisia_cinerea,952_Gnomonia_gnomon,941_Dermea_acerina,398_Stictis_radiata,3_Cladonia_caroliniana",49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00535,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU957,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
