Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common order-level assignment,Order-level assignment,Taxon assignment,otu,otu_references
EUSF00532,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU701,
EUSF00533,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU916,"OTU918,OTU883,OTU917,OTU882,OTU881,OTU877,OTU897,OTU915,OTU878,OTU873,OTU886,OTU884,OTU889,OTU914,OTU901,OTU900,OTU899,OTU906,OTU907,OTU880,OTU890,OTU879,OTU885,OTU903,OTU902,OTU912,OTU921,OTU913,OTU904,OTU920,OTU919,OTU876,OTU910,OTU909,OTU905,OTU887,OTU894,OTU895,OTU896,OTU893,OTU911,OTU908,OTU891,OTU957,OTU940,OTU949,OTU956,OTU946,OTU953,OTU952,OTU951,OTU954,OTU944,OTU950,OTU945,OTU948,OTU955,OTU942,OTU978,OTU977,OTU979,OTU982,OTU981,OTU993,OTU990,OTU992,OTU989,OTU991,OTU973,OTU970,OTU969,OTU972,49_Lachnum_virgineum,59_Botrytis_cinerea,166_Cudoniella_clavus,279_Monilinia_fructicola,OTU962,OTU961,OTU967,OTU968,274_Dothidea_sambuci,921_Dothidea_insculpta,OTU862,OTU820,OTU875,OTU937,OTU997,OTU998,OTU988,OTU975,OTU931,OTU819,OTU825,OTU865,OTU867,OTU929,OTU985,OTU983,687_Hypocenomyce_scalaris,1007_Acarospora_laqueata,1004_Pleopsidium_chlorophanum,76_Mollisia_cinerea,952_Gnomonia_gnomon,941_Dermea_acerina,398_Stictis_radiata,3_Cladonia_caroliniana"
EUSF00530,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU918,
EUSF01194,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU582,
EUSF00536,Ascomycota,Ascomycota,Pezizales,Pezizales,62_Scutellinia_scutellata,OTU203,
EUSF00535,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU957,
EUSF00709,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU405,
EUSF01940,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU687,
EUSF00538,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU796,
EUSF00539,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU795,
EUSF01941,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU68,
EUSF00872,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU883,
EUSF00871,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU737,
EUSF00531,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU917,
EUSF00877,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU882,
EUSF01873,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU673,
EUSF00875,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU185,
EUSF00874,Ascomycota,Ascomycota,Dothideales,"Dothideales,Capnodiales","274_Dothidea_sambuci,921_Dothidea_insculpta,939_Capnodium_coffeae",OTU9,
EUSF00879,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU228,"OTU381,OTU449,OTU501,OTU401,OTU665"
EUSF01943,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU85,
EUSF00989,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU106,
EUSF00823,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU931,
EUSF01115,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU500,
EUSF01203,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU727,
EUSF01202,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU43,
EUSF01201,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU463,
EUSF01200,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU581,
EUSF01207,Ascomycota,Ascomycota,Pezizales,Pezizales,50_Sarcoscypha_coccinea,OTU96,
EUSF01206,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU54,
EUSF01205,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU497,
EUSF01204,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU580,
EUSF01209,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU615,
EUSF01208,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU759,
EUSF00626,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU587,
EUSF00627,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU77,"OTU75,OTU83,OTU82,OTU72,OTU70,OTU76,OTU74,OTU79,OTU86,OTU87"
EUSF00624,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU275,
EUSF00625,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU169,"OTU142,OTU150,OTU147,OTU164,OTU160,OTU168,OTU161,OTU159,OTU156,OTU153,OTU154,OTU269,OTU267,OTU266,OTU279,OTU360,OTU361,OTU359,OTU151,OTU165,OTU155,OTU163,OTU152,OTU149,OTU416,OTU412,OTU394,OTU393,OTU237,OTU242,OTU258,OTU268,OTU536,OTU996,OTU235,OTU286,OTU400,OTU366,OTU256,OTU247,OTU104,OTU241,OTU964,OTU965,OTU167,OTU233,OTU245,OTU337,OTU243,OTU146,OTU166,OTU257,OTU322,OTU99,OTU221,OTU259,OTU222,OTU103,OTU102,OTU263,OTU240,OTU113,OTU148,OTU362,OTU364,OTU443,OTU971,OTU995,OTU432,OTU365,OTU442,OTU433,OTU201"
EUSF00622,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU170,
EUSF00623,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU383,
EUSF00589,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU55,
EUSF00588,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU646,
EUSF00587,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU564,
EUSF00586,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU604,
EUSF00585,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU631,
EUSF00584,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU86,
