query,match,kingdom,phylum,class,order,family,genus,species
EUSF01241,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01222,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00540,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00830,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00541,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01602,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00722,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01249,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01228,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01396,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01216,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01382,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01232,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01679,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00836,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00720,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01425,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01678,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01685,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00797,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00544,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00805,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01247,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01617,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01255,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00834,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00732,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01273,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00839,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00822,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00545,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
