fungal sp. UNEX FECRGA 2012E586,EUSF0621_ITS1F_G01.ab1,gi|909838227|gb|KP899447.1|,92.17,115,9,0,33,147,90,204,1e-36,163
Acremonium sp. W07,EUSF1265_ITS1F_F11.ab1,gi|1050758538|emb|LT604470.1|,99.67,304,1,0,1,304,102,405,1e-154,556
Xenoramularia arxii,EUSF1467_ITS1F_C01.ab1,gi|1097197601|gb|KX287552.1|,98.61,359,5,0,1,359,129,487,1e-178,636
Capnodiales sp. WQ-2013g,EUSF1367_ITS1F_E12.ab1,gi|1314926429|gb|MF951289.1|,100.00,129,0,0,1,129,37,165,1e-59,239
Capnodiales sp. WQ-2013g,EUSF1393_ITS1F_H03.ab1,gi|1314926429|gb|MF951289.1|,99.70,337,1,0,1,337,20,356,5e-173,617
Cladosporium cladosporioides,EUSF1292_ITS1F_B03.ab1,gi|1334707520|gb|MG836709.1|,99.74,389,1,0,1,389,22,410,0.0,713
Cladosporium ramotenellum,EUSF1460_ITS1F_C12.ab1,gi|1314926421|gb|MF951281.1|,99.76,425,1,0,1,425,20,444,0.0,780
Biscogniauxia mediterranea,EUSF0978_ITS1F_B11.ab1,gi|1229748503|gb|KX676293.1|,98.87,444,2,2,4,446,104,545,0.0,789
Acremonium sp. W07,EUSF1264_ITS1F_E11.ab1,gi|1050758538|emb|LT604470.1|,100.00,332,0,0,1,332,102,433,6e-172,614
Capnodiales sp. WQ-2013g,EUSF1363_ITS1F_A12.ab1,gi|1126364292|dbj|LC121129.1|,100.00,479,0,0,1,479,13,491,0.0,885
Nemania maritima,EUSF0699_ITS1F_E11.ab1,gi|1147168949|gb|KY610414.1|,99.82,556,1,0,1,556,1,556,0.0,1024
Xylaria sp. JF-08084,EUSF0979_ITS1F_C11.ab1,gi|333774504|emb|FN689808.1|,100.00,227,0,0,1,227,5,231,9e-114,420
Aureobasidium pullulans,EUSF1710_ITS1F_A11.ab1,gi|1315151565|gb|KY659504.1|,100.00,530,0,0,1,530,30,559,0.0,979
Coccomyces proteae,EUSF1401_ITS1F_H04.ab1,gi|350642860|gb|JN712450.1|,98.80,666,6,2,1,666,33,696,0.0,1184
Creosphaeria sassafras,EUSF1431_ITS1F_F08.ab1,gi|1147168946|gb|KY610411.1|,99.42,517,3,0,1,517,76,592,0.0,939
Phoma sp.,EUSF1069_ITS1F_F10.ab1,gi|1328374538|dbj|LC317734.1|,99.78,450,1,0,1,450,44,493,0.0,826
Capnodiales sp. WQ-2013g,EUSF1368_ITS1F_F12.ab1,gi|1126364292|dbj|LC121129.1|,100.00,497,0,0,1,497,6,502,0.0,918
Sordariomycetes sp.,EUSF0912_ITS1F_H02.ab1,gi|961554592|gb|KT264665.1|,100.00,386,0,0,1,386,31,416,0.0,713
fungal endophyte,EUSF1612_ITS1F_H08.ab1,gi|754296218|gb|KP335661.1|,96.00,300,7,3,1,298,222,518,4e-133,484
Aureobasidium pullulans,EUSF1047_ITS1F_H07.ab1,gi|1315151565|gb|KY659504.1|,99.61,512,1,1,1,512,47,557,0.0,935
Stemphylium vesicarium,EUSF1308_ITS1F_B05.ab1,gi|1253224941|gb|MG065802.1|,100.00,535,0,0,1,535,8,542,0.0,989
Pezicula melanigena,EUSF1435_ITS1F_B09.ab1,gi|1060717049|gb|KU743952.1|,99.61,512,1,1,1,511,45,556,0.0,933
Ramularia sp. P5,EUSF1444_ITS1F_C10.ab1,gi|51101369|gb|AY598873.1|,98.40,374,1,4,1,370,2,374,0.0,652
Ramularia grevilleana,EUSF1465_ITS1F_A01.ab1,gi|1041003537|gb|KX067790.1|,98.75,399,4,1,1,399,124,521,0.0,708
Peziza varia,EUSF1426_ITS1F_A08.ab1,gi|25045988|gb|AF491556.1|,99.51,609,3,0,1,609,71,679,0.0,1109
Dothiorella sarmentorum,EUSF0813_ITS1F_C02.ab1,gi|1331531348|gb|MF503897.1|,97.63,253,4,2,1,253,71,321,1e-117,433
Stemphylium vesicarium,EUSF1291_ITS1F_A03.ab1,gi|1253224941|gb|MG065802.1|,100.00,535,0,0,1,535,8,542,0.0,989
fungal sp.,EUSF0614_ITS1F_G12.ab1,gi|1033910159|gb|KU354814.1|,99.79,484,1,0,1,484,120,603,0.0,891
Neofusicoccum sp. HGMM-2009a,EUSF1282_ITS1F_H01.ab1,gi|1186322693|gb|KY053051.1|,100.00,380,0,0,1,380,32,411,0.0,702
Capnodiales sp. WQ-2013g,EUSF0735_ITS1F_C04.ab1,gi|1126364292|dbj|LC121129.1|,100.00,497,0,0,1,497,6,502,0.0,918
Sordariomycetes sp.,EUSF1359_ITS1F_E11.ab1,gi|1176705475|gb|KX611033.1|,99.81,537,0,1,1,537,57,592,0.0,985
Capnodiales sp. WQ-2013g,EUSF1463_ITS1F_F12.ab1,gi|1126364292|dbj|LC121129.1|,99.39,494,3,0,1,494,6,499,0.0,896
Cladosporium sp.,EUSF1458_ITS1F_A12.ab1,gi|1314929435|gb|MG686512.1|,99.79,478,1,0,1,478,35,512,0.0,878
